DATA;DIA DA SEMANA;JOGOS ESPERADOS (TEORIA);JOGOS NA BD (REALIDADE);ESTADO AUDITORIA;OBSERVACOES OBRIGATORIAS
13/02/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
14/02/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
15/02/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
16/02/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
17/02/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
18/02/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
19/02/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
20/02/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
21/02/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
22/02/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
23/02/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
24/02/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
25/02/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
26/02/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
27/02/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
28/02/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
29/02/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
01/03/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
02/03/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
03/03/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
04/03/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
05/03/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
06/03/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
07/03/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
08/03/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
09/03/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
10/03/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
11/03/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
12/03/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
13/03/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
14/03/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
15/03/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
16/03/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
17/03/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
18/03/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
19/03/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
20/03/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
21/03/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
22/03/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
23/03/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
24/03/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
25/03/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
26/03/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
27/03/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
28/03/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
29/03/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
30/03/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
31/03/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
01/04/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
02/04/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
03/04/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
04/04/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
05/04/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
06/04/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
07/04/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
08/04/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
09/04/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
10/04/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
11/04/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
12/04/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
13/04/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
14/04/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
15/04/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
16/04/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
17/04/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
18/04/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
19/04/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
20/04/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
21/04/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
22/04/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
23/04/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
24/04/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
25/04/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
26/04/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
27/04/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
28/04/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
29/04/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
30/04/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
01/05/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
02/05/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
03/05/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
04/05/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
05/05/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
06/05/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
07/05/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
08/05/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
09/05/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
10/05/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
11/05/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
12/05/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
13/05/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
14/05/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
15/05/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
16/05/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
17/05/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
18/05/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
19/05/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
20/05/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
21/05/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
22/05/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
23/05/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
24/05/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
25/05/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
26/05/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
27/05/2004;QUI;NENHUM;NENHUM;CALMO (Nenhum Jogo);
28/05/2004;SEX;EUROMILLIONS;EUROMILLIONS;TUDO PRESENTE E BEM DATADO;
29/05/2004;SAB;NENHUM;NENHUM;CALMO (Nenhum Jogo);
30/05/2004;DOM;NENHUM;NENHUM;CALMO (Nenhum Jogo);
31/05/2004;SEG;NENHUM;NENHUM;CALMO (Nenhum Jogo);
01/06/2004;TER;NENHUM;NENHUM;CALMO (Nenhum Jogo);
02/06/2004;QUA;NENHUM;NENHUM;CALMO (Nenhum Jogo);
