Bola;Total_Saidas;Max_Streak_Seguidas;Max_Ping_Pong;Min_Descanso_Pos_Pico;Maior_Jejum_Historico;Media_Jejum;Max_Janela_3;Max_Janela_5;Max_Janela_10;Max_Janela_20;Max_Janela_30;Max_Janela_40;Max_Janela_50;Max_Janela_60;Max_Janela_70;Max_Janela_80;Max_Janela_90;Max_Janela_100;Atual_Streak;Atual_Jejum;Atual_Janela_5;Atual_Janela_10;Atual_Janela_20;Atual_Janela_50;Atual_Janela_100
1;187;4;3;0;58;9.6;3;4;7;8;9;10;12;14;15;17;18;19;0;1;1;1;1;3;6
2;186;2;2;1;48;9.6;2;3;4;6;7;9;11;11;13;14;15;16;0;4;1;1;3;8;10
3;194;3;5;0;65;9.2;3;4;5;6;8;10;10;11;13;15;16;19;0;8;0;1;3;7;7
4;200;3;3;0;56;8.8;3;3;5;7;8;9;11;11;14;17;17;19;0;27;0;0;0;5;11
5;203;2;2;1;52;8.7;2;3;4;6;7;9;10;11;14;15;16;19;0;9;0;1;2;6;15
6;193;2;3;0;55;9.1;2;4;4;7;7;9;10;12;12;14;16;17;0;23;0;0;0;5;12
7;203;3;3;0;51;8.8;3;4;5;6;8;10;12;13;13;15;16;18;0;1;1;2;3;5;11
8;191;2;3;2;57;9.3;2;3;4;5;7;9;10;12;14;14;15;16;0;6;0;1;3;8;14
9;186;3;3;6;76;9.6;3;3;4;6;7;8;10;11;13;13;15;16;0;8;0;1;1;3;7
10;218;4;3;0;56;8.1;3;4;6;9;11;13;13;15;16;17;18;19;1;0;2;3;6;10;15
11;193;2;3;0;60;9.2;2;3;4;6;8;11;12;14;14;15;16;18;0;3;1;1;2;3;7
12;198;3;2;4;50;9.0;3;3;4;6;9;10;12;13;14;16;17;18;0;3;1;1;2;4;9
13;203;4;4;0;58;8.8;3;4;5;9;10;10;13;14;15;17;18;19;0;2;1;1;1;3;11
14;205;3;2;0;52;8.7;3;3;4;6;8;9;11;14;14;15;15;17;0;5;0;2;3;7;15
15;201;4;3;0;50;8.9;3;4;6;7;11;12;13;14;15;16;17;19;0;1;1;2;2;2;5
16;195;3;3;0;87;9.2;3;4;6;7;9;12;12;15;16;17;17;19;1;0;1;2;2;5;10
17;217;4;3;0;51;7.9;3;4;5;7;8;10;11;13;14;16;17;18;0;2;1;1;2;6;16
18;177;3;3;0;51;10.2;3;4;5;6;8;9;10;12;14;15;15;16;1;0;1;1;1;4;11
19;220;3;3;0;43;8.0;3;3;4;7;8;10;11;13;13;15;16;16;0;3;1;2;3;5;9
20;203;3;3;0;67;8.5;3;3;5;7;9;10;13;15;16;17;17;18;0;34;0;0;0;2;5
21;213;4;4;0;52;8.2;3;4;5;7;8;9;12;14;15;17;18;20;0;17;0;0;1;1;6
22;155;4;3;0;57;11.7;3;4;5;6;8;9;9;11;12;13;15;15;1;0;1;1;1;4;7
23;223;4;3;0;46;7.9;3;4;4;7;8;9;10;12;14;15;17;18;0;4;1;1;2;6;8
24;201;3;3;0;60;8.8;3;3;4;7;8;10;11;12;13;15;17;18;0;13;0;0;2;2;10
25;208;4;2;0;62;8.4;3;4;5;6;7;9;10;12;14;14;16;17;0;12;0;0;2;6;11
26;206;3;5;0;70;8.5;3;3;5;7;8;10;12;13;14;15;18;19;0;11;0;0;1;6;12
27;206;3;3;0;70;8.6;3;3;4;6;8;9;11;12;13;15;16;17;0;3;1;1;1;2;10
28;192;4;3;0;48;9.3;3;4;5;7;8;10;12;13;15;16;17;18;1;0;1;2;4;6;11
29;219;3;4;0;44;8.0;3;3;6;8;10;11;12;13;15;16;17;18;0;9;0;1;2;6;13
30;198;4;3;0;59;8.9;3;4;6;8;11;13;13;14;15;17;17;19;0;6;0;1;4;5;6
31;187;2;3;0;60;9.6;2;3;4;6;7;8;9;11;12;13;14;16;0;13;0;0;1;5;9
32;179;3;3;0;47;9.9;3;4;5;7;9;11;13;15;17;17;17;18;0;36;0;0;0;1;3
33;174;2;3;1;44;10.4;2;3;4;6;6;8;10;10;11;13;14;15;0;2;1;1;2;5;8
34;199;3;2;2;54;8.9;3;3;4;6;8;10;13;14;17;18;20;21;0;12;0;0;2;5;11
35;208;3;3;0;56;8.5;3;4;5;7;9;11;12;14;14;16;18;20;0;2;1;1;2;6;12
36;185;3;3;0;43;9.7;3;4;5;6;7;8;10;10;13;13;14;16;0;15;0;0;1;4;6
37;212;2;4;1;44;8.4;2;3;4;6;8;9;11;13;15;16;17;19;0;4;1;1;2;7;12
38;201;3;3;1;42;8.8;3;3;4;6;8;9;11;12;14;15;16;17;0;8;0;1;2;6;7
39;197;3;2;0;45;9.1;3;4;5;7;9;10;11;12;14;15;16;18;0;1;2;3;4;6;12
40;180;3;2;2;40;10.0;3;3;4;6;9;9;10;12;13;14;15;16;0;8;0;1;2;4;9
